1571889104,1,2,1,"C5,CK,CA,C2;S9,S3,S8,S10;D4,D6,DJ,DA;D10,D3,DQ,D7;SJ,S5,SK,H3;S7,S6,S4,H7;C10,C7,C9,DK;CJ,C3,C6,H10;CQ,HJ,C8,D2;C4,HQ,HA,D8;S2,SA,H6,H9;SQ,H4,H8,H2;D5,H5,HK,D9"
1571889104,1,7,1,"CA,C4,C2,C5;SA,SJ,SQ,S10;D7,D5,D4,DA;C9,CK,C7,C8;DK,D6,D8,D2;S2,S7,S6,S8;H5,C6,CJ,C3;SK,DJ,S9,H9;H3,HK,HQ,H4;H10,HA,S4,H2;H8,H6,D10,CQ;S3,H7,S5,D3;DQ,HJ,D9,C10"
1571889104,1,2,1,"C10,C5,C2,CQ;SJ,S8,SK,SQ;CK,CA,C9,H10;D8,D4,D10,D6;C3,D7,C8,D9;H3,H2,H7,HQ;S9,SA,H5,S2;HK,H6,HA,DK;C4,DQ,C6,D3;D5,HJ,DA,S5;DJ,H9,D2,S7;S3,H8,C7,S6;S10,H4,CJ,S4"
1571889104,1,7,1,"C2,C8,CA,C3;D5,D7,DA,D3;S3,S5,SK,S10;S4,H7,SQ,S7;C4,CK,C6,H5;CJ,CQ,C9,SA;D4,DK,HA,D8;S8,C5,C7,H8;H3,H4,H9,HQ;D6,DQ,HK,DJ;SJ,D10,HJ,D9;S9,D2,S2,H10;H6,C10,S6,H2"
1571889104,1,0,1,"C2,C5,C8,C4;SQ,S10,SK,S3;CJ,C7,C9,CA;H6,DJ,C6,CQ;HQ,D6,CK,C3;HA,H5,H9,H10;SA,D5,S2,S4;S6,D7,S9,SJ;D10,D2,D4,D8;S5,H8,H2,C10;S8,HK,DQ,DA;S7,H3,D3,D9;H4,H7,DK,HJ"
1571889104,1,16,1,"C9,C2,C3,CQ;S10,S7,SJ,S8;CK,SK,S6,S9;C5,C6,C4,C8;DQ,D8,DJ,D10;C10,CA,SA,H2;D6,DA,D9,D5;HQ,H8,H5,H3;H4,H7,S4,H10;D2,D7,D3,DK;HK,HJ,S5,H6;H9,HA,SQ,S3;CJ,C7,D4,S2"
1571889104,1,15,1,"C4,C2,C3,C6;C7,CK,C10,CJ;S9,S4,SJ,S7;H2,S2,SA,S10;DQ,DK,D4,H4;D7,D5,D9,HQ;H7,DA,S6,SK;HA,HK,H9,H6;D8,DJ,D10,H8;HJ,H3,H5,H10;C9,CA,SQ,C8;D6,D2,S5,CQ;C5,D3,S8,S3"
1571889104,1,1,1,"CA,CJ,C5,C2;D2,D3,DQ,D4;S6,S2,S3,SQ;DK,DJ,D9,D10;S4,S8,S10,SJ;CQ,C8,C3,C6;S9,SA,S5,HA;HQ,C7,C10,C9;H10,H3,HK,HJ;H7,C4,H8,CK;H6,D5,H2,D6;SK,S7,H5,D7;H4,D8,H9,DA"
1571889104,1,13,1,"C8,C5,C2,C10;D4,D5,D3,D7;DA,DJ,D2,D6;CQ,C3,C4,CJ;S6,SA,S2,S3;CA,CK,C7,H3;S7,S10,S9,SJ;HA,HK,H6,H4;S4,SQ,S8,DQ;D9,H10,H5,HJ;DK,H7,SK,D8;C6,S5,H9,D10;C9,H8,HQ,H2"
1571889104,1,18,1,"CQ,C10,C5,C2;S2,S3,S4,S8;D2,D7,D6,D10;C7,C4,HQ,C6;S6,SJ,S7,D4;H8,HJ,H10,H2;C3,C9,H7,CK;DQ,D3,D8,D5;SK,S9,S10,DK;HA,H6,HK,D9;S5,SA,SQ,CJ;H3,CA,DA,C8;H4,H5,H9,DJ"
1571889104,1,0,1,"CK,CQ,CA,C2;C7,C4,C3,CJ;S8,S5,S9,S3;D2,D3,DQ,D6;D7,HQ,D9,D4;S7,SQ,S4,SA;H10,H5,H7,H4;D5,SJ,DJ,DK;SK,S6,S2,S10;HA,H2,HJ,HK;DA,C9,H8,C6;D8,C10,H9,C8;D10,H3,H6,C5"
1571889104,1,0,1,"CQ,C2,CK,C9;D10,D2,DK,D6;HK,D8,DQ,DA;S7,S9,S10,S3;H8,H6,H3,HA;CJ,C8,CA,C5;HQ,H4,HJ,H2;H10,D5,H5,H9;SJ,SQ,S4,SA;SK,DJ,C4,S5;S8,D3,C6,S6;S2,C7,D9,D7;H7,C10,D4,C3"
1571889104,1,20,1,"C2,C7,C6,C4;DJ,D5,D4,DK;S8,S3,SK,S4;SA,H9,S7,S10;CQ,CA,C5,C3;D6,D2,D7,D9;H10,H7,HA,H6;H2,HK,H4,HJ;DQ,D3,HQ,DA;C10,CJ,C9,C8;H8,D8,H5,S5;H3,CK,S2,S9;SJ,D10,S6,SQ"
