1572000157,1,7,1,"C6,C3,C2,CA;D9,D10,D2,DJ;SK,S10,S3,S8;S6,S7,HA,S2;SQ,S9,HQ,SA;H5,H10,H2,HJ;CJ,C5,CQ,C4;DK,D6,DA,D7;D8,D5,D3,H9;S4,SJ,C9,H8;H3,H6,C10,H4;S5,H7,DQ,C7;C8,HK,D4,CK"
1572000157,1,18,1,"C9,C10,DK,C2;D7,DA,DQ,D9;D5,DJ,D10,H5;D8,D6,D3,H3;H7,H8,HJ,C5;S10,SQ,S7,S5;HA,D2,HK,C4;H4,SJ,S3,S9;H2,SA,S4,SK;CJ,H9,HQ,CK;C8,S2,H6,C6;CA,C3,H10,C7;CQ,D4,S8,S6"
1572000157,1,5,1,"C2,C9,CA,C4;D2,DK,D5,D7;SA,S2,SQ,S5;C6,HA,CJ,CQ;D9,D3,DQ,D4;S3,S7,S10,S8;H2,H5,H9,H4;H3,HK,H7,D10;C3,HJ,H6,D6;C7,S6,S4,SJ;C8,H10,D8,DJ;C5,S9,HQ,SK;C10,H8,CK,DA"
1572000157,1,13,1,"C7,C2,C3,CQ;D5,D8,D3,DA;DQ,D4,D7,DJ;S6,SA,S10,SQ;S2,SK,S3,S9;C6,CA,C9,CJ;H3,C4,CK,HK;SJ,H10,S5,S4;D10,D6,HA,D2;H2,H5,HQ,H4;D9,C8,H6,H9;S8,C5,H8,S7;DK,C10,H7,HJ"
1572000157,1,1,1,"CQ,C2,C4,CJ;D6,DJ,D7,D2;SA,SJ,S6,S10;DK,D3,D8,D4;DA,SQ,D9,D10;D5,HJ,HK,H10;C6,C7,C8,C10;H3,SK,H7,H9;C5,CA,HQ,CK;S4,S5,S9,H8;HA,S2,S8,H5;H6,C3,H4,H2;DQ,S3,S7,C9"
1572000157,1,2,1,"C2,C4,CA,C6;S7,S8,S10,SA;D5,DK,D4,D8;D9,DQ,D2,DA;H9,DJ,D10,D7;CK,CJ,C10,HA;C3,CQ,C9,HJ;SK,S3,SQ,S2;C7,HQ,HK,H10;C5,H2,H4,H8;C8,S5,S4,H7;SJ,D3,S9,H5;H6,D6,S6,H3"
1572000157,1,5,1,"C9,CJ,C2,C8;S6,S3,S10,S4;C7,C5,CQ,C3;H7,S9,S5,S2;DA,D8,D3,D5;D9,D4,H10,SQ;H6,H4,H2,HK;DJ,HQ,H3,H8;CA,C10,C4,C6;DK,D7,H9,HA;D2,D6,SK,HJ;D10,S7,S8,H5;DQ,SA,SJ,CK"
1572000157,1,14,1,"C2,CK,CA,C8;DJ,D7,D10,D9;C4,C5,CJ,C3;SJ,S7,S10,S6;CQ,C7,C10,HQ;D4,DA,D5,D2;H6,H5,H7,H4;HJ,SQ,S9,S5;H8,H10,HA,S2;D6,D8,DQ,D3;C6,HK,C9,S8;H3,H2,H9,S4;DK,S3,SA,SK"
1572000157,1,13,1,"C2,C5,C8,CK;S10,SK,SQ,S2;D4,D10,DK,D9;CJ,C3,C10,CA;S3,HA,S5,S6;SA,HJ,S4,S9;HK,H9,H4,H6;H10,H7,H2,DA;S7,D5,H8,SJ;D2,DJ,DQ,D7;H3,CQ,H5,D3;C6,C7,C9,D8;HQ,C4,D6,S8"
1572000157,1,6,1,"C2,C8,CQ,CK;D7,D10,D9,DQ;DK,D2,D4,DJ;C4,CA,C7,C5;S7,S3,S8,SQ;SJ,S6,S2,S9;C3,C10,C6,HK;HA,DA,D6,D5;H9,H3,HQ,H4;H6,SA,H2,H8;S10,SK,H5,S5;HJ,S4,D8,H10;CJ,D3,C9,H7"
1572000157,1,6,1,"C2,CQ,C4,C5;DA,D8,D4,D2;C8,CK,CJ,C10;D3,D6,D7,DK;SQ,S9,SA,S6;S7,SJ,S4,S3;D10,D9,DJ,HK;CA,C3,C9,C7;H6,H5,H7,H3;H8,HQ,H10,H9;HJ,DQ,D5,H4;SK,S10,HA,S5;S2,C6,H2,S8"
1572000157,1,4,1,"C5,C2,C8,C9;S10,S6,SQ,S5;D7,D6,D9,D3;C3,C10,C7,C4;SA,S3,S4,S7;DK,DQ,DA,D8;S8,SK,SJ,S2;D10,D5,DJ,HJ;CK,C6,CJ,CA;H7,HQ,H3,H9;H10,H2,H8,H6;HA,HK,H4,H5;D2,D4,CQ,S9"
1572000157,1,7,1,"C6,CJ,CQ,C2;S5,S2,SA,S7;D4,D9,D6,D8;SJ,S8,SQ,SK;C10,CK,CA,C4;DA,DJ,D2,D5;C5,C9,H5,C3;H10,D7,H4,DQ;H6,H9,H2,HQ;H7,HA,S4,HJ;H8,S9,S6,HK;H3,DK,S10,D10;C8,D3,S3,C7"
