1571886695,2,2,2,"CA,C3,CK,C2;DK,D6,D7,D4;S3,S9,SA,S10;C8,C10,C9,CQ;S5,S7,S6,SQ;D8,DJ,D2,D9;SK,S4,S2,S8;D3,DQ,D5,D10;H5,CJ,C4,C5;H8,C6,C7,H9;HQ,HA,H3,H10;H2,H7,H4,HJ;HK,H6,DA,SJ"
1571886695,2,1,2,"C4,C2,CQ,CJ;D7,D9,D8,DJ;S2,S9,S5,S7;C8,CA,C5,C9;DQ,D6,D4,D5;DA,DK,D10,S3;D2,H10,SQ,SJ;C6,H8,CK,C3;HK,H2,H5,H3;H6,HJ,H4,H7;C10,SA,S10,S4;H9,S8,S6,SK;D3,HQ,C7,HA"
1571886695,2,13,2,"C2,CQ,CA,C6;S5,S2,S7,SJ;D2,D4,DJ,D10;S10,S6,S4,HJ;D7,D6,D3,D8;C10,C3,C7,C5;HQ,HA,H7,H8;D5,DA,S9,DQ;H4,H5,H6,H10;CK,H3,H2,HK;C9,SK,C8,C4;S8,D9,SQ,CJ;SA,H9,S3,DK"
1571886695,2,2,2,"C7,C2,C10,C4;SJ,S9,S8,S4;D6,D3,D7,D4;D2,C5,C9,CJ;D5,D9,DQ,D8;S10,CA,CQ,H6;SK,S2,SQ,H5;HJ,H3,H7,HQ;H9,HK,H4,HA;DA,S3,H2,DJ;S7,SA,C3,DK;S5,C8,CK,H8;D10,S6,C6,H10"
1571886695,2,20,2,"C4,C2,C10,C3;DJ,D2,D8,D10;S2,CQ,SQ,S8;D5,D4,DQ,D9;C6,C5,CK,C8;D7,D3,DK,DA;S9,HA,SK,S6;HQ,CJ,D6,H10;H6,H7,HJ,H4;HK,H2,H5,H3;SA,C9,S4,S5;S10,CA,H8,SJ;S7,H9,C7,S3"
1571886695,2,1,2,"C3,C2,CQ,C9;D3,DA,DQ,D6;C10,CA,C5,C4;CJ,C6,CK,C7;D2,D7,DJ,D10;S6,S5,S2,SA;HQ,S8,S4,S7;H6,SQ,S9,SJ;HA,H10,H7,H4;D4,D5,D9,H9;H3,HJ,H8,H2;DK,HK,C8,H5;D8,S3,SK,S10"
1571886695,2,0,2,"CQ,C10,C6,C2;S9,S2,S4,S7;DQ,DK,DJ,D10;S8,SK,SJ,S5;D8,DA,D9,D3;D2,D5,D7,C7;C5,H2,C9,CJ;C4,S10,H9,CA;C8,SA,HJ,C3;S3,H6,H3,SQ;D6,H10,H4,CK;HA,H7,HQ,HK;D4,H5,H8,S6"
1571886695,2,17,2,"CK,C5,C8,C2;C7,C6,CJ,C4;S4,SQ,SK,S5;S2,S8,S6,SA;D9,D7,DA,D8;C3,C10,C9,CQ;D6,D10,H4,D2;D3,DK,H7,D4;H2,HJ,H3,H6;H5,H9,HK,H10;SJ,S10,S7,HA;CA,DJ,HQ,H8;S9,D5,S3,DQ"
1571886695,2,7,2,"C2,CK,C4,C8;S10,SA,S9,S5;H9,S2,SK,S7;C5,CJ,C9,CQ;H3,H4,H8,HA;D7,D5,D10,DK;HQ,S4,HK,H5;H6,C6,H7,H2;D4,SJ,S3,S6;DQ,DA,C3,D2;D3,D8,SQ,S8;D9,DJ,CA,H10;C10,D6,C7,HJ"
1571886695,2,19,2,"C2,C10,C4,CQ;CK,CJ,D9,C9;D7,D4,D5,D8;C8,C6,H7,CA;S7,S8,SA,SQ;H2,H9,HQ,H3;H6,H10,H4,H8;D2,DJ,DQ,D3;S9,SJ,SK,S4;S6,DA,S3,S2;C5,C7,HK,S5;C3,H5,HJ,S10;DK,HA,D10,D6"
1571886695,2,11,2,"C3,C9,C4,C2;S7,S8,S4,SK;D9,DA,DQ,D3;S3,S5,S9,SQ;D7,DJ,D2,D8;S2,S10,HK,H6;C7,C10,CA,H2;H5,H4,HJ,H10;D5,H3,HA,H9;SJ,H7,H8,D4;C6,CJ,CQ,D6;SA,S6,HQ,D10;CK,C8,C5,DK"
1571886695,2,7,2,"C5,C10,C2,C6;SQ,SJ,S6,S4;S8,S3,C4,SA;D6,D2,D10,D3;S5,DA,DQ,DJ;CQ,CJ,C3,CA;H5,D9,D8,DK;S10,H8,D4,D5;H7,H10,H4,HQ;H6,SK,HJ,H9;S2,C8,HA,HK;C7,S7,H2,D7;S9,C9,H3,CK"
